Time Period,Product Category,Average Price,Demand Index
2022-01,Dairy,8.32,52
2022-01,Produce,14.22,96
2022-01,Meat,3.7,64
2022-01,Beverages,10.9,79
2022-01,Snacks,8.6,78
2022-01,Bakery,14.8,99
2022-02,Dairy,9.69,52
2022-02,Produce,7.89,51
2022-02,Meat,5.4,80
2022-02,Beverages,10.6,83
2022-02,Snacks,8.56,93
2022-02,Bakery,9.2,86
2022-03,Dairy,7.82,91
2022-03,Produce,13.14,90
2022-03,Meat,10.72,92
2022-03,Beverages,13.94,59
2022-03,Snacks,4.82,50
2022-03,Bakery,11.79,71
2022-04,Dairy,2.62,82
2022-04,Produce,4.5,95
2022-04,Meat,3.99,56
2022-04,Beverages,3.86,60
2022-04,Snacks,2.83,50
2022-04,Bakery,5.2,92
2022-05,Dairy,14.29,71
2022-05,Produce,11.01,86
2022-05,Meat,11.38,72
2022-05,Beverages,14.49,83
2022-05,Snacks,14.4,91
2022-05,Bakery,7.65,61
2022-06,Dairy,14.19,53
2022-06,Produce,3.57,74
2022-06,Meat,9.87,96
2022-06,Beverages,11.09,64
2022-06,Snacks,5.15,51
2022-06,Bakery,9.66,74
2022-07,Dairy,9.41,78
2022-07,Produce,7.97,74
2022-07,Meat,4.38,86
2022-07,Beverages,2.44,56
2022-07,Snacks,11.88,53
2022-07,Bakery,1.86,81
2022-08,Dairy,5.42,71
2022-08,Produce,2.44,74
2022-08,Meat,10.24,51
2022-08,Beverages,13.11,72
2022-08,Snacks,4.56,67
2022-08,Bakery,14.48,57
2022-09,Dairy,4.44,77
2022-09,Produce,1.54,94
2022-09,Meat,3.46,85
2022-09,Beverages,10.33,95
2022-09,Snacks,2.07,61
2022-09,Bakery,14.67,61
2022-10,Dairy,9.49,99
2022-10,Produce,5.43,64
2022-10,Meat,11.06,51
2022-10,Beverages,12.43,74
2022-10,Snacks,3.34,90
2022-10,Bakery,11.99,95
2022-11,Dairy,11.13,96
2022-11,Produce,6.38,61
2022-11,Meat,2.88,70
2022-11,Beverages,12.26,50
2022-11,Snacks,14.71,68
2022-11,Bakery,3.16,84
2022-12,Dairy,5.12,81
2022-12,Produce,7.73,66
2022-12,Meat,13.8,50
2022-12,Beverages,5.28,57
2022-12,Snacks,6.09,64
2022-12,Bakery,2.16,55
2023-01,Dairy,14.73,69
2023-01,Produce,9.31,70
2023-01,Meat,10.52,78
2023-01,Beverages,4.93,83
2023-01,Snacks,5.08,72
2023-01,Bakery,12.96,55
2023-02,Dairy,12.59,65
2023-02,Produce,8.73,91
2023-02,Meat,2.29,90
2023-02,Beverages,1.63,66
2023-02,Snacks,10.83,70
2023-02,Bakery,4.14,68
2023-03,Dairy,11.6,83
2023-03,Produce,9.66,84
2023-03,Meat,8.26,55
2023-03,Beverages,1.76,83
2023-03,Snacks,9.87,76
2023-03,Bakery,8.13,71
2023-04,Dairy,10.08,85
2023-04,Produce,12.55,73
2023-04,Meat,8.82,84
2023-04,Beverages,6.49,87
2023-04,Snacks,14.74,91
2023-04,Bakery,11.09,92
2023-05,Dairy,3.52,80
2023-05,Produce,14.53,96
2023-05,Meat,12.24,95
2023-05,Beverages,13.92,75
2023-05,Snacks,14.78,76
2023-05,Bakery,11.55,85
2023-06,Dairy,2.51,74
2023-06,Produce,10.08,56
2023-06,Meat,5.56,90
2023-06,Beverages,4.59,71
2023-06,Snacks,3.06,96
2023-06,Bakery,3.15,95
2023-07,Dairy,9.91,93
2023-07,Produce,7.64,69
2023-07,Meat,8.26,99
2023-07,Beverages,14.62,92
2023-07,Snacks,14.99,90
2023-07,Bakery,5.07,83
2023-08,Dairy,8.33,60
2023-08,Produce,13.45,98
2023-08,Meat,7.22,84
2023-08,Beverages,5.51,81
2023-08,Snacks,5.76,93
2023-08,Bakery,9.28,52
2023-09,Dairy,5.89,97
2023-09,Produce,14.04,88
2023-09,Meat,11.87,85
2023-09,Beverages,2.47,76
2023-09,Snacks,9.35,95
2023-09,Bakery,14.31,56
2023-10,Dairy,12.21,55
2023-10,Produce,11.04,89
2023-10,Meat,5.08,69
2023-10,Beverages,12.17,71
2023-10,Snacks,4.73,77
2023-10,Bakery,6.73,50
2023-11,Dairy,9.6,76
2023-11,Produce,3.59,70
2023-11,Meat,4.79,70
2023-11,Beverages,6.45,65
2023-11,Snacks,7.39,65
2023-11,Bakery,3.09,82
2023-12,Dairy,12.72,82
2023-12,Produce,12.03,99
2023-12,Meat,4.1,60
2023-12,Beverages,11.3,92
2023-12,Snacks,7.1,56
2023-12,Bakery,9.75,50
